,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,313016,cr,Ronald Matarrita,21, D(L),175,70,13,0.0,1150,1,1,3,0,1.2,78.4,3,1,7.30,4.5,3,1.3,0.4,2.4,1.4,0.1,0,0.6,0.5,0.1,0.9,1.6,0.6,47.8,78.4,1.1,1.8,New York City FC
1,6319,es,David Villa,34," AM(L),FW",175,69,16,1,1456,11,1,3,0,5.8,73.1,2,0.4,7.21,0.8,0.2,1.4,0,0,0.3,0,0,1.5,2.2,1.1,3.5,2.6,1.5,28.2,73.1,0.4,1.6,New York City FC
2,120034,ar,Diego Martínez,23, Defender,177,72,1,1,128,0,0,0,0,0.5,70.1,0,1.5,7.20,3.5,2.5,2,0,1.5,2,0,0,0.5,0.5,0,0.5,1.5,0.5,33.5,70.1,1,0.5,New York City FC
3,2579,it,Andrea Pirlo,37, M(C),177,68,15,0,1300,1,3,2,0,0.9,81.9,0,0.4,7.14,2.6,1.5,0.7,0.1,0.3,1.3,0,0,2.2,1.1,0.1,1.3,0.9,2.2,56.9,81.9,1.4,8.3,New York City FC
4,317896,gb,Jack Harrison,19, Midfielder,175,70,3,1,277,1,1,0,0,0.8,68.8,1,0.5,7.07,0.5,1,1,0,0,0.8,0,0,2,0.8,0,1.8,2.3,2,27.3,68.8,0.3,1.5,New York City FC
5,278948,,RJ Allen,26, D(R),180,75,8,2,751,1,3,3,0,0.3,79.5,1,0.8,6.91,1.8,1.4,1.8,0.4,1.1,0.5,0.2,0,1.2,0.8,0.2,0.5,0.9,1.2,36.6,79.5,0.4,1.2,New York City FC
6,128614,ar,Federico Bravo,22, M(C),185,82,9,2,803,0,0,7,0,0.5,77,0,2.6,6.90,3.2,3.6,2.4,0,1.2,1.5,0.2,0,0.4,1.5,0,0.7,0.5,0.4,45.5,77,0.1,2.4,New York City FC
7,286175,co,Jefferson Mena,27, D(C),182,79,2,0,118,0,0,0,0,0,79.6,0,0.5,6.84,1.5,1,0.5,1,2.5,0,0.5,0,0,0,0,0.5,0.5,0,24.5,79.6,0,1,New York City FC
8,143557,us,Thomas McNamara,25, AM(CL),176,78,14,1,1110,3,5,3,0,1.3,80.5,1,0.1,6.83,1.3,0.6,0.7,0,0.5,0.4,0,0,1.5,1,0.2,1.7,1.1,1.5,28.7,80.5,0.1,1.4,New York City FC
9,9441,es,Andoni Iraola,34," D(R),M(R)",182,75,9,4,851,0,1,3,0,0,85.6,0,0.6,6.72,1.9,1.2,0.9,0.4,1.4,0.5,0.4,0,0.4,0.2,0,0.3,0.1,0.4,40.1,85.6,0.2,2,New York City FC
10,271556,gh,Kwadwo Poku,24, AM(C),185,84,3,4,268,1,0,0,0,0.4,80,0,0.7,6.71,1.3,0.3,0.6,0,0.1,0.3,0,0,0.9,1.1,0,1.4,1.1,0.9,17.9,80,0.1,1.4,New York City FC
11,39917,us,Mix Diskerud,25, M(CR),184,68,9,3,814,1,2,1,0,1.7,74.9,1,0.7,6.69,2.1,0.8,0.6,0,0.5,0.5,0,0,1,1.2,0,1.4,1.3,1,27.8,74.9,0.3,1.4,New York City FC
12,279539,co,Steven Mendoza,23, AM(L),170,70,6,7,644,1,0,0,0,1.8,76.7,0,0,6.69,2.1,0.5,0.5,0,0.1,0.2,0,0,1.2,0.8,0.1,1.2,1.5,1.2,18.8,76.7,0.3,0.6,New York City FC
13,313017,fr,Frederic Brillant,31, D(C),190,70,15,0,1350,1,0,3,0,0.5,80.3,1,2.2,6.65,1.2,2.5,0.6,1.8,6.1,0.7,0.6,2,0.1,0.3,0,0.1,0.7,0.1,51.7,80.3,0,4.4,New York City FC
14,271559,us,Khiry Shelton,23, AM(R),191,84,10,3,818,2,2,0,0,0.9,68.4,0,1.5,6.62,0.6,0.2,0.5,0.1,0.8,0.4,0,0,0.7,0.7,0.1,1.9,2.2,0.7,20.2,68.4,0.3,0.2,New York City FC
15,44770,us,Josh Saunders,35, GK,194,96,17,0,1530,0,0,3,0,0,70,0,0.2,6.61,0.1,0.5,0,0,1.4,0.3,0,0,0,0.1,0,0,0.1,0,33.8,70,0,6.4,New York City FC
16,38963,us,Jason Hernandez,32, D(C),181,78,16,0,1435,0,0,1,1,0,84.4,0,1.4,6.61,1.6,3.2,1.1,1.6,2.9,0.5,1.2,0,0,0.8,0,0.1,0.1,0,45.8,84.4,0,3.6,New York City FC
17,48,gb,Frank Lampard,38, M(C),184,89,2,3,204,2,0,1,0,1.8,79.4,0,0,6.57,0.8,0.4,0.8,0,0.2,0.2,0,0,0.2,0.6,0,0,0.6,0.2,20.4,79.4,0,1.8,New York City FC
18,122374,us,Tony Taylor,26, Midfielder,183,78,5,1,398,1,0,2,0,1.2,75.4,0,0.5,6.57,0.3,0.5,0.8,0,0.3,0.2,0,0,1,0.5,0.2,2,1.3,1,23,75.4,0.5,0.7,New York City FC
19,143481,ie,Patrick Mullins,24, FW,186,79,2,3,201,0,1,2,0,1.4,55.1,0,1.8,6.46,0.4,0.4,1.4,0,1.6,0,0,0,0.8,1.4,0.6,2,1,0.8,9.8,55.1,0.2,0.4,New York City FC
20,99293,us,Ethan White,25, D(CR),183,84,5,6,497,0,0,1,0,0,74.3,0,0.9,6.42,1.5,1.9,0.4,0,2.5,0.7,0.2,0,0,0.3,0,0,0.5,0,19.1,74.3,0,0.3,New York City FC
21,31122,ma,Mehdi Ballouchy,33, M(CR),181,78,1,3,145,0,0,0,0,0,82.8,0,0.3,6.42,1.5,0.3,0.5,0,0.5,0.3,0.5,0,0.5,0.5,0,0,0.5,0.5,23.3,82.8,0.3,2,New York City FC
22,126963,us,Mikey Lopez,23, M(C),173,73,6,4,584,0,1,5,0,0.9,79.2,0,1.1,6.32,1.3,1.2,1.4,0,0.9,0.5,0,0,0.4,0.8,0,1.4,1.3,0.4,25,79.2,0,0.7,New York City FC
